open_time,open,high,low,close,volume
2026-03-10 18:22:00+00:00,2041.44,2043.75,2038.86,2041.14,7894.135
2026-03-10 18:23:00+00:00,2041.14,2046.5,2039.7,2044.13,10432.627
2026-03-10 18:24:00+00:00,2044.12,2048.81,2043.77,2045.66,7699.856
2026-03-10 18:25:00+00:00,2045.66,2048.69,2044.52,2045.31,5456.089
2026-03-10 18:26:00+00:00,2045.32,2048.7,2044.38,2047.58,4888.644
2026-03-10 18:27:00+00:00,2047.57,2050.95,2046.49,2048.73,9020.571
2026-03-10 18:28:00+00:00,2048.73,2051.2,2046.66,2049.61,5120.923
2026-03-10 18:29:00+00:00,2049.6,2049.81,2045.36,2045.8,6857.167
2026-03-10 18:30:00+00:00,2045.8,2048.1,2042.55,2047.38,7757.252
2026-03-10 18:31:00+00:00,2047.37,2049.96,2043.0,2043.12,14975.781
2026-03-10 18:32:00+00:00,2043.12,2047.19,2042.18,2045.77,4512.027
2026-03-10 18:33:00+00:00,2045.77,2046.0,2042.9,2044.01,2632.705
2026-03-10 18:34:00+00:00,2044.02,2048.44,2044.02,2047.9,3811.801
2026-03-10 18:35:00+00:00,2047.89,2050.87,2046.02,2047.46,16284.549
2026-03-10 18:36:00+00:00,2047.47,2055.0,2045.47,2045.47,16107.87
2026-03-10 18:37:00+00:00,2045.47,2046.55,2040.23,2044.89,12030.807
2026-03-10 18:38:00+00:00,2044.88,2046.2,2043.36,2045.21,5541.044
2026-03-10 18:39:00+00:00,2045.22,2045.47,2041.84,2042.48,3053.822
2026-03-10 18:40:00+00:00,2042.48,2044.15,2041.79,2042.76,6349.916
2026-03-10 18:41:00+00:00,2042.77,2043.57,2040.0,2042.3,6467.782
2026-03-10 18:42:00+00:00,2042.31,2044.02,2040.03,2042.43,5163.999
2026-03-10 18:43:00+00:00,2042.42,2043.46,2040.77,2040.97,2566.381
2026-03-10 18:44:00+00:00,2040.98,2041.47,2039.56,2040.45,4473.783
2026-03-10 18:45:00+00:00,2040.45,2043.11,2036.45,2039.28,10751.603
2026-03-10 18:46:00+00:00,2039.28,2041.79,2038.63,2040.24,3803.639
2026-03-10 18:47:00+00:00,2040.24,2043.63,2040.21,2041.3,3459.91
2026-03-10 18:48:00+00:00,2041.3,2046.0,2041.3,2044.0,5185.28
2026-03-10 18:49:00+00:00,2043.99,2045.1,2042.56,2045.02,2351.246
2026-03-10 18:50:00+00:00,2045.01,2046.4,2043.69,2045.78,3981.572
2026-03-10 18:51:00+00:00,2045.78,2046.5,2042.3,2042.66,2182.492
2026-03-10 18:52:00+00:00,2042.67,2042.67,2040.07,2040.43,2339.862
2026-03-10 18:53:00+00:00,2040.43,2041.12,2038.37,2039.39,4608.37
2026-03-10 18:54:00+00:00,2039.39,2043.18,2038.62,2041.69,3495.968
2026-03-10 18:55:00+00:00,2041.69,2042.32,2036.85,2037.26,3190.75
2026-03-10 18:56:00+00:00,2037.26,2038.65,2034.52,2037.11,10293.282
2026-03-10 18:57:00+00:00,2037.12,2037.68,2035.89,2036.74,2585.253
2026-03-10 18:58:00+00:00,2036.74,2037.97,2035.42,2037.81,4009.001
2026-03-10 18:59:00+00:00,2037.81,2039.97,2036.94,2038.88,6063.926
2026-03-10 19:00:00+00:00,2038.88,2039.3,2037.56,2038.86,3175.484
2026-03-10 19:01:00+00:00,2038.86,2040.22,2036.0,2038.32,3651.218
2026-03-10 19:02:00+00:00,2038.32,2041.0,2037.85,2040.43,2422.031
2026-03-10 19:03:00+00:00,2040.44,2040.69,2037.73,2040.66,2140.877
2026-03-10 19:04:00+00:00,2040.65,2042.0,2037.25,2037.26,3156.352
2026-03-10 19:05:00+00:00,2037.25,2038.35,2036.01,2037.11,2097.148
2026-03-10 19:06:00+00:00,2037.11,2038.39,2035.0,2035.78,2312.892
2026-03-10 19:07:00+00:00,2035.78,2040.89,2033.19,2040.64,6205.555
2026-03-10 19:08:00+00:00,2040.63,2043.28,2037.91,2039.13,15231.452
2026-03-10 19:09:00+00:00,2039.12,2039.19,2038.01,2038.27,1628.977
2026-03-10 19:10:00+00:00,2038.27,2038.48,2035.71,2036.9,2825.384
2026-03-10 19:11:00+00:00,2036.9,2036.9,2028.56,2032.76,17280.216
2026-03-10 19:12:00+00:00,2032.75,2033.28,2031.2,2031.63,3152.425
2026-03-10 19:13:00+00:00,2031.64,2032.77,2031.57,2032.43,1547.932
2026-03-10 19:14:00+00:00,2032.43,2035.82,2032.41,2034.94,2573.192
2026-03-10 19:15:00+00:00,2034.94,2036.97,2034.85,2035.56,3594.829
2026-03-10 19:16:00+00:00,2035.57,2038.49,2035.41,2038.22,2972.291
2026-03-10 19:17:00+00:00,2038.22,2041.41,2038.22,2040.74,5721.634
2026-03-10 19:18:00+00:00,2040.74,2042.84,2040.38,2042.43,5618.334
2026-03-10 19:19:00+00:00,2042.44,2043.47,2041.58,2042.87,3439.514
2026-03-10 19:20:00+00:00,2042.88,2043.04,2038.6,2039.57,5547.496
2026-03-10 19:21:00+00:00,2039.57,2039.68,2032.47,2034.24,13248.853
2026-03-10 19:22:00+00:00,2034.23,2035.11,2032.0,2034.48,6189.82
2026-03-10 19:23:00+00:00,2034.47,2039.76,2034.32,2038.7,3099.646
2026-03-10 19:24:00+00:00,2038.7,2039.0,2036.79,2038.18,1566.238
2026-03-10 19:25:00+00:00,2038.19,2038.19,2033.31,2034.18,2237.467
2026-03-10 19:26:00+00:00,2034.17,2034.17,2028.66,2031.12,6700.292
2026-03-10 19:27:00+00:00,2031.13,2031.71,2030.13,2031.66,1997.278
2026-03-10 19:28:00+00:00,2031.66,2034.14,2031.45,2033.68,2710.344
2026-03-10 19:29:00+00:00,2033.68,2034.3,2031.02,2031.7,1777.0
2026-03-10 19:30:00+00:00,2031.71,2032.51,2030.0,2030.77,3795.92
2026-03-10 19:31:00+00:00,2030.77,2033.97,2029.11,2031.0,3832.817
2026-03-10 19:32:00+00:00,2031.0,2031.0,2027.66,2029.67,6674.054
2026-03-10 19:33:00+00:00,2029.67,2031.31,2027.7,2028.26,2500.423
2026-03-10 19:34:00+00:00,2028.26,2030.46,2027.15,2027.98,4575.593
2026-03-10 19:35:00+00:00,2027.97,2029.89,2026.25,2026.7,3085.67
2026-03-10 19:36:00+00:00,2026.7,2030.51,2025.55,2030.51,6450.869
2026-03-10 19:37:00+00:00,2030.51,2030.76,2028.86,2028.86,2700.607
2026-03-10 19:38:00+00:00,2028.87,2031.82,2028.86,2031.07,2751.894
2026-03-10 19:39:00+00:00,2031.07,2033.0,2030.32,2032.33,3026.836
2026-03-10 19:40:00+00:00,2032.32,2039.26,2030.0,2037.33,18915.008
2026-03-10 19:41:00+00:00,2037.33,2038.57,2035.53,2035.54,7408.519
2026-03-10 19:42:00+00:00,2035.53,2039.56,2034.36,2039.54,4245.484
2026-03-10 19:43:00+00:00,2039.53,2040.23,2038.3,2039.71,4816.717
2026-03-10 19:44:00+00:00,2039.71,2039.71,2036.68,2036.84,3601.002
2026-03-10 19:45:00+00:00,2036.84,2038.51,2036.46,2036.88,3767.805
2026-03-10 19:46:00+00:00,2036.88,2037.11,2035.37,2036.04,2475.292
2026-03-10 19:47:00+00:00,2036.05,2036.8,2034.09,2034.69,2352.492
2026-03-10 19:48:00+00:00,2034.68,2035.03,2033.62,2034.24,1773.366
2026-03-10 19:49:00+00:00,2034.23,2035.81,2034.23,2035.55,1340.976
2026-03-10 19:50:00+00:00,2035.54,2035.68,2034.0,2035.34,2432.994
2026-03-10 19:51:00+00:00,2035.33,2035.76,2034.09,2034.09,1024.963
2026-03-10 19:52:00+00:00,2034.09,2036.2,2034.0,2034.0,3615.414
2026-03-10 19:53:00+00:00,2034.01,2036.53,2034.01,2035.3,998.328
2026-03-10 19:54:00+00:00,2035.31,2036.18,2033.73,2034.84,2472.781
2026-03-10 19:55:00+00:00,2034.84,2036.68,2034.37,2036.26,2105.216
2026-03-10 19:56:00+00:00,2036.26,2036.26,2035.0,2035.34,798.017
2026-03-10 19:57:00+00:00,2035.34,2035.55,2033.67,2034.77,1226.256
2026-03-10 19:58:00+00:00,2034.78,2036.65,2034.78,2036.5,1224.669
2026-03-10 19:59:00+00:00,2036.51,2037.41,2035.6,2035.84,3109.73
2026-03-10 20:00:00+00:00,2035.84,2036.56,2034.28,2036.25,3899.387
2026-03-10 20:01:00+00:00,2036.24,2037.43,2036.06,2036.35,1507.495
2026-03-10 20:02:00+00:00,2036.36,2036.52,2035.02,2035.24,749.841
2026-03-10 20:03:00+00:00,2035.23,2035.79,2034.82,2035.78,764.175
2026-03-10 20:04:00+00:00,2035.79,2039.84,2035.79,2039.22,3413.341
2026-03-10 20:05:00+00:00,2039.23,2042.22,2039.2,2040.61,4518.087
2026-03-10 20:06:00+00:00,2040.6,2041.0,2040.0,2040.43,1518.863
