open_time,open,high,low,close,volume
2026-02-18 17:24:00+00:00,67137.0,67154.4,67098.0,67118.3,35.65
2026-02-18 17:25:00+00:00,67118.2,67128.8,67037.2,67064.6,96.679
2026-02-18 17:26:00+00:00,67064.5,67070.3,67039.8,67066.0,104.208
2026-02-18 17:27:00+00:00,67066.0,67117.9,67066.0,67097.6,81.135
2026-02-18 17:28:00+00:00,67097.7,67123.5,67087.2,67095.1,80.82
2026-02-18 17:29:00+00:00,67095.1,67128.0,67095.1,67103.5,49.448
2026-02-18 17:30:00+00:00,67103.5,67120.8,67096.8,67104.1,51.317
2026-02-18 17:31:00+00:00,67104.2,67210.9,67098.1,67152.0,134.015
2026-02-18 17:32:00+00:00,67151.9,67160.9,67094.0,67119.9,73.888
2026-02-18 17:33:00+00:00,67120.0,67124.4,67082.3,67103.8,33.908
2026-02-18 17:34:00+00:00,67103.8,67123.3,67067.4,67122.1,58.317
2026-02-18 17:35:00+00:00,67122.2,67169.2,67118.0,67156.5,43.077
2026-02-18 17:36:00+00:00,67156.5,67173.1,67132.9,67155.3,30.657
2026-02-18 17:37:00+00:00,67155.4,67173.8,67136.7,67173.6,38.776
2026-02-18 17:38:00+00:00,67173.6,67173.7,67129.3,67138.4,25.022
2026-02-18 17:39:00+00:00,67138.5,67181.7,67123.7,67172.3,43.043
2026-02-18 17:40:00+00:00,67172.2,67186.4,67146.1,67147.8,54.544
2026-02-18 17:41:00+00:00,67147.8,67154.3,67075.0,67093.3,126.236
2026-02-18 17:42:00+00:00,67093.4,67110.2,67068.4,67071.5,83.05
2026-02-18 17:43:00+00:00,67071.5,67079.5,67056.3,67079.4,54.505
2026-02-18 17:44:00+00:00,67079.4,67079.5,67067.9,67073.8,23.786
2026-02-18 17:45:00+00:00,67073.8,67112.6,67073.8,67102.3,111.735
2026-02-18 17:46:00+00:00,67102.2,67150.4,67088.0,67139.5,126.401
2026-02-18 17:47:00+00:00,67139.5,67154.5,67134.4,67153.8,52.385
2026-02-18 17:48:00+00:00,67153.8,67160.8,67136.7,67140.2,22.854
2026-02-18 17:49:00+00:00,67140.2,67148.4,67133.4,67135.4,16.947
2026-02-18 17:50:00+00:00,67135.4,67155.8,67125.6,67134.0,31.352
2026-02-18 17:51:00+00:00,67133.9,67134.0,67064.7,67104.5,79.795
2026-02-18 17:52:00+00:00,67104.5,67104.6,67055.5,67082.3,92.507
2026-02-18 17:53:00+00:00,67082.4,67095.4,67071.9,67084.3,37.975
2026-02-18 17:54:00+00:00,67084.3,67094.6,67061.5,67071.2,58.124
2026-02-18 17:55:00+00:00,67071.2,67107.2,67064.1,67067.4,37.944
2026-02-18 17:56:00+00:00,67067.5,67098.7,67067.5,67081.0,39.727
2026-02-18 17:57:00+00:00,67080.9,67200.0,67080.9,67152.3,119.958
2026-02-18 17:58:00+00:00,67152.4,67152.4,67100.0,67134.8,106.782
2026-02-18 17:59:00+00:00,67134.7,67169.7,67134.7,67156.3,90.532
2026-02-18 18:00:00+00:00,67156.6,67171.0,67142.1,67163.6,77.258
2026-02-18 18:01:00+00:00,67163.7,67203.7,67141.8,67193.5,101.387
2026-02-18 18:02:00+00:00,67193.6,67198.5,67157.0,67183.6,105.978
2026-02-18 18:03:00+00:00,67183.5,67183.5,67107.1,67129.5,82.0
2026-02-18 18:04:00+00:00,67129.6,67130.0,67077.9,67083.9,94.664
2026-02-18 18:05:00+00:00,67084.0,67121.9,67056.4,67113.5,189.479
2026-02-18 18:06:00+00:00,67113.5,67135.2,67080.0,67084.5,44.606
2026-02-18 18:07:00+00:00,67084.4,67142.4,67057.8,67128.0,73.306
2026-02-18 18:08:00+00:00,67128.0,67136.4,67106.4,67117.0,64.708
2026-02-18 18:09:00+00:00,67116.9,67124.3,67076.6,67092.9,29.63
2026-02-18 18:10:00+00:00,67092.9,67115.7,67092.8,67109.7,20.04
